Price,Close,High,Low,Open,Volume
Ticker,002664.SZ,002664.SZ,002664.SZ,002664.SZ,002664.SZ
Date,,,,,
2025-02-26,23.110000610351562,23.190000534057617,21.0,21.0,45009662
2025-02-27,21.649999618530273,23.299999237060547,21.360000610351562,23.299999237060547,47264862
2025-02-28,19.489999771118164,21.700000762939453,19.489999771118164,21.65999984741211,32249724
2025-03-03,18.450000762939453,19.489999771118164,17.700000762939453,19.489999771118164,37379539
2025-03-04,18.59000015258789,19.260000228881836,18.3799991607666,18.459999084472656,26519035
2025-03-05,19.030000686645508,19.059999465942383,18.360000610351562,18.56999969482422,22555601
2025-03-06,19.59000015258789,19.93000030517578,18.950000762939453,19.0,28341800
2025-03-07,19.559999465942383,19.979999542236328,19.18000030517578,19.5,22247173
2025-03-10,19.350000381469727,19.75,18.889999389648438,19.3799991607666,17780139
2025-03-11,18.979999542236328,19.299999237060547,18.5,18.8799991607666,18874702
2025-03-12,18.610000610351562,19.360000610351562,18.579999923706055,19.139999389648438,17249800
2025-03-13,17.5,18.68000030517578,17.209999084472656,18.68000030517578,24473200
2025-03-14,17.90999984741211,17.979999542236328,17.110000610351562,17.40999984741211,15288790
2025-03-17,19.700000762939453,19.700000762939453,18.010000228881836,18.200000762939453,26298669
2025-03-18,19.889999389648438,20.65999984741211,19.510000228881836,20.0,42020390
2025-03-19,20.610000610351562,20.799999237060547,19.399999618530273,19.889999389648438,43892177
2025-03-20,20.600000381469727,21.149999618530273,19.719999313354492,20.350000381469727,40564370
2025-03-21,18.540000915527344,20.420000076293945,18.540000915527344,20.389999389648438,34668700
2025-03-24,18.219999313354492,18.459999084472656,17.43000030517578,18.399999618530273,26157206
2025-03-25,17.600000381469727,18.399999618530273,17.5,18.200000762939453,13369000
2025-03-26,17.959999084472656,18.479999542236328,17.399999618530273,17.469999313354492,14143006
2025-03-27,17.649999618530273,18.239999771118164,17.559999465942383,17.899999618530273,10665978
2025-03-28,17.770000457763672,18.610000610351562,17.65999984741211,17.65999984741211,13781577
2025-03-31,17.0,17.559999465942383,16.579999923706055,17.5,16742299
2025-04-01,16.690000534057617,17.299999237060547,16.68000030517578,17.270000457763672,7927700
2025-04-02,16.700000762939453,17.1299991607666,16.579999923706055,16.690000534057617,9040200
2025-04-03,16.200000762939453,16.829999923706055,16.079999923706055,16.360000610351562,11207499
2025-04-07,14.579999923706055,15.479999542236328,14.579999923706055,14.800000190734863,12395400
2025-04-08,13.770000457763672,14.789999961853027,13.300000190734863,14.5,17966600
2025-04-09,14.149999618530273,14.300000190734863,12.600000381469727,13.489999771118164,18688642
2025-04-10,14.899999618530273,15.300000190734863,14.600000381469727,14.600000381469727,17746800
2025-04-11,15.260000228881836,15.670000076293945,14.699999809265137,14.699999809265137,14717500
2025-04-14,15.420000076293945,15.829999923706055,15.25,15.600000381469727,13600000
2025-04-15,15.619999885559082,15.84000015258789,15.180000305175781,15.4399995803833,13789100
2025-04-16,15.140000343322754,15.600000381469727,14.800000190734863,15.5,10322400
2025-04-17,14.979999542236328,15.300000190734863,14.970000267028809,15.050000190734863,6552500
2025-04-18,15.069999694824219,15.470000267028809,14.680000305175781,14.890000343322754,7543500
2025-04-21,15.399999618530273,15.470000267028809,14.899999618530273,15.079999923706055,8006500
2025-04-22,15.34000015258789,15.510000228881836,15.100000381469727,15.300000190734863,6188700
2025-04-23,15.84000015258789,15.989999771118164,15.460000038146973,15.5600004196167,15690900
2025-04-24,15.5600004196167,15.989999771118164,15.5,15.850000381469727,9603800
2025-04-25,15.649999618530273,15.789999961853027,15.390000343322754,15.510000228881836,7760400
2025-04-28,15.210000038146973,15.569999694824219,15.100000381469727,15.510000228881836,8753900
2025-04-29,15.65999984741211,15.880000114440918,15.079999923706055,15.180000305175781,11625699
2025-04-30,17.229999542236328,17.229999542236328,15.5,15.819999694824219,24739500
2025-05-06,18.950000762939453,18.950000762939453,18.0,18.0,22454879
2025-05-07,19.5,20.65999984741211,18.950000762939453,19.600000381469727,68041163
2025-05-08,20.5,21.149999618530273,19.0,19.0,54980800
2025-05-09,19.299999237060547,20.65999984741211,19.100000381469727,20.200000762939453,40703027
2025-05-12,19.93000030517578,20.56999969482422,19.579999923706055,19.65999984741211,29389240
2025-05-13,19.209999084472656,20.329999923706055,19.149999618530273,20.299999237060547,23644500
